geoid,name,B17001001,"B17001001, Error",B17001002,"B17001002, Error",B17001003,"B17001003, Error",B17001004,"B17001004, Error",B17001005,"B17001005, Error",B17001006,"B17001006, Error",B17001007,"B17001007, Error",B17001008,"B17001008, Error",B17001009,"B17001009, Error",B17001010,"B17001010, Error",B17001011,"B17001011, Error",B17001012,"B17001012, Error",B17001013,"B17001013, Error",B17001014,"B17001014, Error",B17001015,"B17001015, Error",B17001016,"B17001016, Error",B17001017,"B17001017, Error",B17001018,"B17001018, Error",B17001019,"B17001019, Error",B17001020,"B17001020, Error",B17001021,"B17001021, Error",B17001022,"B17001022, Error",B17001023,"B17001023, Error",B17001024,"B17001024, Error",B17001025,"B17001025, Error",B17001026,"B17001026, Error",B17001027,"B17001027, Error",B17001028,"B17001028, Error",B17001029,"B17001029, Error",B17001030,"B17001030, Error",B17001031,"B17001031, Error",B17001032,"B17001032, Error",B17001033,"B17001033, Error",B17001034,"B17001034, Error",B17001035,"B17001035, Error",B17001036,"B17001036, Error",B17001037,"B17001037, Error",B17001038,"B17001038, Error",B17001039,"B17001039, Error",B17001040,"B17001040, Error",B17001041,"B17001041, Error",B17001042,"B17001042, Error",B17001043,"B17001043, Error",B17001044,"B17001044, Error",B17001045,"B17001045, Error",B17001046,"B17001046, Error",B17001047,"B17001047, Error",B17001048,"B17001048, Error",B17001049,"B17001049, Error",B17001050,"B17001050, Error",B17001051,"B17001051, Error",B17001052,"B17001052, Error",B17001053,"B17001053, Error",B17001054,"B17001054, Error",B17001055,"B17001055, Error",B17001056,"B17001056, Error",B17001057,"B17001057, Error",B17001058,"B17001058, Error",B17001059,"B17001059, Error"
14000US11001000600,"Census Tract 6, District of Columbia, DC",4309,366,311,130,84,75,0,12,0,12,0,12,0,12,0,12,0,12,27,46,0,12,16,25,41,64,0,12,0,12,0,12,227,108,0,12,0,12,0,12,0,12,0,12,0,12,80,67,147,111,0,12,0,12,0,12,0,12,0,12,3998,360,1822,209,121,67,47,43,114,63,40,34,14,22,15,24,33,31,263,96,304,130,293,106,265,87,196,69,117,46,2176,251,78,54,12,20,137,62,34,32,0,12,54,42,49,39,433,138,293,89,293,108,472,138,183,65,138,80
14000US11001000701,"Census Tract 7.01, District of Columbia, DC",5236,433,389,201,163,103,0,12,0,12,33,58,0,12,0,12,0,12,11,18,71,72,30,50,0,12,0,12,1,9,17,27,226,123,15,24,0,12,0,12,0,12,0,12,0,12,46,52,70,70,32,57,10,17,17,27,16,26,20,33,4847,443,1667,290,61,54,53,82,44,51,16,30,0,12,0,12,51,49,435,180,192,126,202,104,165,93,285,93,163,81,3180,278,190,121,0,12,45,69,0,12,0,12,0,12,69,70,616,177,537,160,330,160,459,153,493,118,441,135
14000US11001000702,"Census Tract 7.02, District of Columbia, DC",3384,330,293,169,91,82,0,12,0,12,0,12,0,12,0,12,0,12,62,74,16,27,0,12,13,20,0,12,0,12,0,12,202,132,0,12,0,12,0,12,0,12,0,12,0,12,45,62,115,94,28,47,0,12,14,22,0,12,0,12,3091,328,1294,367,67,51,0,12,14,25,18,32,0,12,20,32,12,19,791,290,138,108,36,41,49,45,52,38,97,85,1797,280,40,43,0,12,10,20,0,12,0,12,0,12,88,57,834,256,344,80,115,67,112,50,137,56,117,69
14000US11001000801,"Census Tract 8.01, District of Columbia, DC",6291,548,916,458,485,426,0,17,0,17,21,32,0,17,0,17,0,17,421,422,0,17,1,2,2,6,22,35,18,28,0,17,431,199,0,17,0,17,17,27,0,17,0,17,16,26,345,179,0,17,0,17,34,40,19,30,0,17,0,17,5375,496,2566,350,195,104,0,17,195,101,54,48,16,25,63,47,161,97,287,169,292,100,498,155,308,102,277,103,220,89,2809,285,133,84,0,17,117,64,111,66,0,17,106,62,36,35,176,79,335,100,525,165,550,143,395,92,325,127
14000US11001000802,"Census Tract 8.02, District of Columbia, DC",3077,297,462,210,331,212,0,12,0,12,0,12,0,12,0,12,0,12,155,152,120,101,0,12,9,16,47,43,0,12,0,12,131,72,0,12,0,12,7,11,0,12,0,12,0,12,45,40,61,60,18,21,0,12,0,12,0,12,0,12,2615,243,1214,160,127,70,26,27,131,72,9,14,18,19,27,31,6,9,196,87,188,63,166,45,124,51,80,44,116,67,1401,163,158,70,0,12,92,64,23,28,8,14,16,26,15,16,271,94,213,63,228,70,180,58,83,52,114,54
14000US11001000901,"Census Tract 9.01, District of Columbia, DC",4546,347,551,243,206,154,0,17,0,17,0,17,0,17,0,17,0,17,99,130,14,32,33,37,23,35,37,44,0,17,0,17,345,145,0,17,0,17,16,22,0,17,0,17,0,17,172,103,30,41,48,62,35,38,22,26,10,15,12,17,3995,288,1919,186,129,67,18,18,155,62,111,53,32,29,65,49,78,71,105,57,154,40,290,84,327,78,295,71,160,58,2076,206,117,58,5,8,207,60,65,39,28,38,53,35,30,26,101,50,317,109,346,75,326,93,323,73,158,65
14000US11001000902,"Census Tract 9.02, District of Columbia, DC",2334,214,79,51,31,24,0,12,0,12,0,12,0,12,0,12,0,12,0,12,9,13,0,12,8,11,13,18,1,2,0,12,48,35,0,12,0,12,0,12,0,12,0,12,0,12,12,13,35,31,0,12,0,12,1,9,0,12,0,12,2255,204,1109,130,54,40,41,32,155,55,41,24,29,30,40,29,26,26,76,43,187,73,147,66,102,42,131,40,80,37,1146,118,22,19,23,26,152,54,51,31,17,19,57,45,18,25,82,49,214,48,179,62,169,46,108,39,54,31
14000US11001001001,"Census Tract 10.01, District of Columbia, DC",7605,466,400,171,128,115,0,17,0,17,0,17,0,17,0,17,17,28,93,116,17,25,0,17,0,17,1,2,0,17,0,17,272,126,0,17,0,17,0,17,0,17,0,17,0,17,84,82,85,60,23,36,11,20,5,12,16,27,48,45,7205,424,3551,293,411,171,126,66,383,135,85,51,19,30,151,81,178,91,178,101,479,109,488,115,559,123,224,85,270,89,3654,287,223,105,41,51,294,100,101,56,14,22,51,45,113,77,509,171,530,114,636,122,464,111,361,104,317,107
14000US11001001002,"Census Tract 10.02, District of Columbia, DC",3515,477,967,361,554,239,0,12,0,12,0,12,0,12,0,12,0,12,476,221,17,29,26,42,0,12,35,57,0,12,0,12,413,310,0,12,0,12,0,12,0,12,0,12,0,12,328,297,57,76,0,12,0,12,0,12,0,12,28,45,2548,414,1097,248,42,41,0,12,13,19,23,27,12,18,0,12,137,87,353,146,166,85,140,113,138,85,45,44,28,39,1451,264,95,109,0,12,39,40,0,12,0,12,0,12,148,106,362,140,285,111,193,82,172,87,87,40,70,65
14000US11001001100,"Census Tract 11, District of Columbia, DC",4348,341,243,122,73,66,0,12,0,12,0,12,0,12,0,12,0,12,29,55,41,46,0,12,2,4,1,3,0,12,0,12,170,117,0,12,0,12,0,12,0,12,0,12,0,12,71,73,0,12,42,48,0,12,57,74,0,12,0,12,4105,341,1882,224,120,79,0,12,96,72,59,56,12,20,13,21,137,65,336,133,249,94,223,87,241,97,259,85,137,66,2223,259,113,66,17,27,145,77,49,40,41,62,15,23,73,62,262,104,245,98,330,123,363,101,300,112,270,143
14000US11001001200,"Census Tract 12, District of Columbia, DC",4880,528,339,178,135,122,0,12,0,12,0,12,0,12,0,12,0,12,9,15,72,113,4,8,8,12,42,47,0,12,0,12,204,115,0,12,0,12,0,12,0,12,0,12,0,12,39,36,104,85,0,12,0,12,0,12,45,69,16,25,4541,496,2388,369,224,87,14,23,132,105,78,78,0,12,9,18,81,84,625,221,246,66,366,114,270,100,207,93,136,61,2153,244,16,25,120,58,57,47,0,12,0,12,0,12,74,65,605,174,371,89,318,108,211,100,185,79,196,86
14000US11001001301,"Census Tract 13.01, District of Columbia, DC",4060,416,381,181,165,129,0,12,0,12,0,12,0,12,0,12,25,39,0,12,76,110,46,50,0,12,0,12,0,12,18,27,216,117,0,12,0,12,0,12,0,12,0,12,0,12,113,109,45,51,2,5,4,6,32,47,0,12,20,29,3679,435,1602,297,67,62,12,24,138,110,43,48,20,33,0,12,144,105,245,93,209,121,258,129,152,95,163,66,151,74,2077,263,22,35,0,12,179,101,17,28,26,39,25,40,125,83,734,198,278,104,260,103,145,75,171,61,95,61
14000US11001001302,"Census Tract 13.02, District of Columbia, DC",7796,720,774,328,243,136,0,17,0,17,0,17,0,17,0,17,0,17,85,73,134,113,15,25,0,17,0,17,0,17,9,15,531,257,27,44,0,17,0,17,0,17,0,17,0,17,180,182,167,94,54,64,0,17,0,17,60,93,43,53,7022,725,3109,470,154,98,0,17,5,24,13,33,5,26,0,17,84,92,969,314,765,220,304,119,246,117,386,156,178,92,3913,417,131,126,27,42,107,147,26,34,0,17,0,17,278,141,1581,284,327,140,344,147,417,123,361,125,314,120
14000US11001001401,"Census Tract 14.01, District of Columbia, DC",3333,264,363,219,125,121,0,12,0,12,0,12,0,12,0,12,12,19,17,19,73,116,0,12,22,25,0,12,0,12,1,2,238,140,0,12,0,12,0,12,0,12,0,12,0,12,69,59,122,100,16,24,9,15,0,12,22,24,0,12,2970,268,1344,187,48,27,15,16,101,43,74,50,42,46,27,22,47,37,208,82,161,52,292,83,229,75,53,30,47,33,1626,158,65,43,35,23,137,43,101,46,14,17,56,31,80,66,170,61,269,78,315,83,239,72,83,36,62,54
14000US11001001402,"Census Tract 14.02, District of Columbia, DC",3084,251,279,152,72,64,0,12,0,12,0,12,0,12,0,12,0,12,40,55,0,12,0,12,0,12,22,25,0,12,10,16,207,134,34,54,0,12,0,12,0,12,0,12,0,12,62,76,66,58,0,12,0,12,0,12,11,16,34,54,2805,217,1469,198,121,56,24,22,112,51,52,27,28,29,42,26,84,52,131,75,209,54,245,74,226,122,123,54,72,42,1336,116,103,49,7,10,62,32,17,18,15,21,9,14,38,46,121,78,181,50,232,67,167,50,164,60,220,74
14000US11001001500,"Census Tract 15, District of Columbia, DC",6020,547,156,105,47,44,0,17,0,17,0,17,0,17,12,18,0,17,13,20,0,17,0,17,21,23,1,2,0,17,0,17,109,81,8,14,0,17,0,17,0,17,0,17,0,17,54,54,0,17,0,17,19,21,28,43,0,17,0,17,5864,532,2893,349,211,114,115,64,345,119,127,96,0,17,87,48,73,68,193,136,341,64,437,94,399,124,306,88,259,74,2971,276,154,89,38,37,290,101,225,108,40,39,78,51,117,65,91,61,456,85,498,130,422,100,270,73,292,107
14000US11001001600,"Census Tract 16, District of Columbia, DC",4102,304,118,77,57,48,0,12,0,12,0,12,0,12,0,12,0,12,12,20,0,12,0,12,14,21,14,22,9,15,8,14,61,47,0,12,0,12,0,12,11,17,0,12,0,12,3,11,29,32,0,12,0,12,10,25,0,12,8,13,3984,297,1818,163,53,36,49,43,100,44,84,58,0,12,61,50,46,43,121,64,232,86,398,104,309,87,226,57,139,52,2166,248,176,107,15,16,104,58,111,60,36,47,26,28,44,31,146,95,302,87,351,92,314,87,199,64,342,82
14000US11001001702,"Census Tract 17.02, District of Columbia, DC",2948,249,277,165,95,74,31,36,0,12,0,12,0,12,0,12,0,12,0,12,13,22,7,16,35,38,9,16,0,12,0,12,182,105,28,31,9,16,0,12,0,12,0,12,5,11,29,27,18,21,33,36,28,30,23,25,0,12,9,15,2671,225,1235,149,64,62,0,12,37,26,20,23,0,12,13,22,40,38,297,87,203,71,247,96,138,57,119,50,57,38,1436,171,84,53,0,12,69,32,16,16,9,21,16,25,86,63,285,87,219,86,211,93,217,72,114,52,110,48
14000US11001001803,"Census Tract 18.03, District of Columbia, DC",3930,402,394,233,209,166,71,82,0,12,0,12,0,12,0,12,0,12,0,12,24,45,94,85,0,12,12,19,8,13,0,12,185,98,0,12,0,12,0,12,0,12,0,12,0,12,0,12,35,45,40,48,0,12,29,25,35,54,46,45,3536,366,1782,248,253,95,20,23,166,74,43,41,26,31,14,16,83,59,320,129,353,78,164,72,170,71,135,56,35,34,1754,182,166,71,9,14,109,50,52,47,9,15,42,48,155,73,274,91,235,78,195,71,187,84,155,61,166,69
14000US11001001804,"Census Tract 18.04, District of Columbia, DC",5550,695,773,307,289,133,25,28,15,23,10,16,36,32,0,17,15,22,12,18,21,25,37,47,58,45,35,42,0,17,25,28,484,232,50,60,0,17,31,35,9,14,10,15,8,12,99,84,94,106,56,46,75,82,20,28,18,21,14,22,4777,715,2521,500,192,161,96,90,161,75,96,82,10,15,35,31,181,118,514,233,450,177,359,168,215,98,49,60,163,83,2256,408,91,77,20,22,134,129,43,50,55,59,36,41,135,81,385,147,383,140,432,183,216,91,220,96,106,55
14000US11001001901,"Census Tract 19.01, District of Columbia, DC",3801,512,486,315,262,181,0,12,0,12,75,78,0,12,0,12,54,61,33,35,0,12,0,12,20,25,44,50,13,16,23,28,224,145,0,12,0,12,42,57,0,12,0,12,38,51,17,21,10,23,0,12,22,25,32,49,12,13,51,35,3315,493,1366,255,90,47,41,55,133,96,20,23,39,53,37,33,132,73,237,103,82,45,249,80,102,55,87,45,117,48,1949,315,170,97,0,12,61,66,19,20,0,12,49,51,160,79,364,127,313,85,269,90,255,81,141,70,148,48
14000US11001001902,"Census Tract 19.02, District of Columbia, DC",2239,197,223,163,98,71,0,12,0,12,28,29,15,16,0,12,19,31,0,12,8,13,12,14,11,14,5,11,0,12,0,12,125,97,32,34,0,12,0,12,10,15,6,10,0,12,24,33,9,14,18,27,5,7,1,4,11,11,9,11,2016,195,805,100,58,39,0,12,26,20,5,7,0,12,7,10,23,26,201,85,122,51,68,36,203,68,60,27,32,25,1211,161,111,52,0,12,47,28,27,21,0,12,0,12,84,50,99,45,190,70,169,51,263,75,48,21,173,50
14000US11001002001,"Census Tract 20.01, District of Columbia, DC",2640,291,180,85,65,42,0,12,7,11,0,12,0,12,0,12,0,12,5,8,6,10,0,12,25,28,12,14,10,11,0,12,115,62,2,6,0,12,1,5,0,12,0,12,0,12,0,12,12,16,0,12,30,34,12,15,45,32,13,14,2460,280,1174,151,137,51,0,12,79,48,19,19,4,7,15,19,32,33,148,59,275,75,143,58,130,42,121,50,71,37,1286,203,78,48,2,4,98,63,30,38,0,12,4,8,44,33,225,88,201,59,173,89,197,77,162,58,72,45
14000US11001002002,"Census Tract 20.02, District of Columbia, DC",3847,470,611,299,120,95,0,12,0,12,11,18,0,12,12,19,0,12,14,22,0,12,0,12,56,80,27,30,0,12,0,12,491,277,0,12,40,63,0,12,40,63,0,12,37,57,54,56,10,18,74,78,155,111,39,43,23,30,19,21,3236,424,1577,220,84,68,9,14,161,91,35,38,6,9,25,29,78,56,283,98,332,109,168,84,230,82,103,62,63,69,1659,312,71,65,28,31,103,69,108,101,23,32,66,63,70,56,175,71,217,79,237,97,220,77,165,63,176,104
14000US11001002101,"Census Tract 21.01, District of Columbia, DC",5703,801,1038,617,399,266,51,67,0,17,71,104,0,17,8,17,35,55,18,23,10,20,28,46,91,87,47,62,11,17,29,31,639,391,36,58,34,54,68,107,47,73,49,78,7,15,80,80,36,41,141,105,61,73,37,34,28,30,15,25,4665,821,2387,468,177,88,22,35,109,73,28,33,28,32,0,17,252,147,436,165,291,118,549,217,246,156,115,56,134,60,2278,429,148,113,20,34,118,123,135,111,71,84,0,17,87,63,480,178,319,125,366,122,201,90,221,92,112,63
14000US11001002102,"Census Tract 21.02, District of Columbia, DC",4934,528,1136,431,445,193,55,65,0,12,101,103,0,12,10,16,33,49,88,80,8,14,14,18,58,69,45,41,30,47,3,9,691,298,46,59,9,15,54,67,55,56,26,43,0,12,108,122,57,44,146,95,75,79,69,52,0,12,46,37,3798,567,1770,284,80,66,0,12,129,105,84,77,10,17,28,45,164,106,331,132,227,108,334,151,176,72,111,55,96,41,2028,382,83,82,53,78,49,41,35,35,0,12,51,55,139,90,503,199,236,119,335,114,267,116,169,71,108,54
14000US11001002201,"Census Tract 22.01, District of Columbia, DC",3678,342,300,136,159,99,0,12,0,12,0,12,0,12,0,12,0,12,52,61,10,18,34,36,47,50,0,12,10,15,6,8,141,66,0,12,0,12,0,12,0,12,0,12,0,12,30,33,21,31,0,12,28,30,11,14,9,14,42,41,3378,334,1796,253,101,61,68,62,86,55,59,53,36,42,72,53,245,116,330,129,230,102,215,98,148,85,122,52,84,41,1582,201,52,43,19,22,102,62,21,35,45,41,39,54,135,96,321,130,178,66,190,84,203,79,140,47,137,50
14000US11001002202,"Census Tract 22.02, District of Columbia, DC",3965,499,1021,450,410,251,35,46,0,12,9,14,69,56,0,12,29,34,168,150,0,12,35,45,19,21,36,41,1,3,9,13,611,250,70,69,0,12,41,39,77,61,23,28,11,16,50,51,191,114,23,30,73,53,15,17,18,27,19,17,2944,591,1541,437,180,101,12,20,113,93,7,14,38,53,18,24,111,72,404,249,360,158,169,75,49,31,22,21,58,48,1403,280,50,57,26,39,138,82,33,43,7,11,55,52,23,24,346,124,247,87,172,82,126,65,132,61,48,35
14000US11001002301,"Census Tract 23.01, District of Columbia, DC",3261,359,519,277,219,130,28,40,0,12,0,12,22,22,0,12,54,46,0,12,4,9,27,40,54,43,8,11,22,28,0,12,300,161,32,31,0,12,23,33,0,12,16,21,7,11,58,70,79,55,46,44,17,20,16,20,0,12,6,10,2742,375,1248,237,78,43,10,16,35,27,0,12,0,12,38,40,77,69,299,99,171,64,358,193,94,56,36,22,52,30,1494,229,75,40,6,9,80,68,16,23,8,12,0,12,79,49,219,105,202,65,362,138,173,81,109,41,165,52
14000US11001002302,"Census Tract 23.02, District of Columbia, DC",1542,235,499,247,216,154,0,12,0,12,0,12,0,12,0,12,0,12,122,142,0,12,5,12,0,12,16,25,41,46,32,39,283,186,0,12,0,12,0,12,0,12,0,12,0,12,188,169,37,34,0,12,12,18,18,30,0,12,28,46,1043,157,414,123,10,15,0,12,0,12,0,12,0,12,0,12,4,7,56,38,78,55,27,30,11,19,47,42,181,88,629,132,12,19,0,12,81,4,11,18,0,12,0,12,8,12,290,92,10,14,85,76,75,49,27,27,30,47
14000US11001002400,"Census Tract 24, District of Columbia, DC",4252,398,542,333,346,229,0,12,9,17,57,83,0,12,0,12,62,89,53,58,11,16,74,64,15,17,38,46,16,20,11,18,196,120,0,12,12,21,30,44,0,12,28,40,0,12,0,12,69,61,48,45,9,15,0,12,0,12,0,12,3710,356,1928,262,74,60,0,12,74,58,22,23,18,23,51,54,219,119,408,102,335,102,388,104,227,86,56,45,56,38,1782,287,139,61,0,12,66,62,16,20,33,49,55,53,160,77,399,126,310,89,100,65,263,88,119,52,122,44
14000US11001002501,"Census Tract 25.01, District of Columbia, DC",2738,404,728,327,309,196,16,31,0,12,32,50,7,23,40,60,56,63,36,40,0,12,22,27,46,83,18,27,36,32,0,12,419,164,15,27,0,12,4,15,0,12,15,21,0,12,59,68,100,69,67,70,11,19,45,44,26,38,77,58,2010,323,1003,237,54,35,20,22,71,41,0,12,0,12,19,32,116,88,184,98,240,89,147,59,134,54,18,22,0,12,1007,178,30,30,22,25,29,26,32,36,0,12,23,31,116,52,206,98,71,37,201,92,105,51,56,32,116,62
14000US11001002502,"Census Tract 25.02, District of Columbia, DC",6079,714,851,414,465,239,74,116,0,17,67,105,0,17,0,17,0,17,74,69,38,48,39,61,102,85,71,63,0,17,0,17,386,200,77,86,0,17,0,17,30,55,0,17,18,32,45,50,48,58,0,17,49,50,73,66,17,21,29,30,5228,692,2702,488,271,176,25,42,160,119,16,18,0,17,9,14,178,120,634,218,704,227,372,198,234,125,73,45,26,34,2526,362,231,141,0,17,163,136,75,76,0,17,51,51,141,100,463,183,466,159,262,135,382,126,149,105,143,79
14000US11001002600,"Census Tract 26, District of Columbia, DC",2531,190,93,60,48,31,0,12,0,12,0,12,0,12,0,12,0,12,9,14,17,18,5,9,9,12,0,12,3,6,5,8,45,39,8,12,0,12,0,12,0,12,0,12,0,12,4,6,13,17,0,12,6,10,0,12,5,9,9,12,2438,176,1123,118,68,34,18,17,48,27,2,5,10,12,28,37,62,36,113,48,130,35,270,81,122,48,160,39,92,42,1315,135,69,44,8,12,141,57,14,14,10,14,39,27,84,56,111,39,182,51,165,64,281,43,115,38,96,33
14000US11001002701,"Census Tract 27.01, District of Columbia, DC",5301,509,554,295,312,171,46,70,0,12,0,12,0,12,0,12,0,12,34,47,117,79,43,67,0,12,57,88,0,12,15,24,242,160,49,77,0,12,0,12,0,12,0,12,0,12,45,57,56,69,0,12,0,12,22,27,29,28,41,55,4747,492,2551,394,235,129,76,71,27,31,12,20,11,16,0,12,334,250,514,182,613,234,416,207,189,126,112,62,12,20,2196,295,122,99,12,21,65,51,18,29,0,12,11,19,146,77,992,258,341,110,181,95,156,72,102,52,50,49
